classifier_name,dataset_name,accuracy
Our Proposed Approach,Beef,0.9
Our Proposed Approach,BeetleFly,0.95
Our Proposed Approach,BirdChicken,0.9
Our Proposed Approach,Car,0.9
Our Proposed Approach,CBF,0.9455555
Our Proposed Approach,ChlorineConcentration,0.913802
Our Proposed Approach,Coffee,1
Our Proposed Approach,Lighting2,0.81967
Our Proposed Approach,FordA,0.9295
Our Proposed Approach,ItalyPowerDemand,0.9669582
Our Proposed Approach,ECG200,0.92
Our Proposed Approach,ECG5000,0.9466889
Our Proposed Approach,DiatomSizeReduction,0.973856
Our Proposed Approach,Earthquakes,0.755396
Our Proposed Approach,GunPoint,1
Our Proposed Approach,Hering,0.75
Our Proposed Approach,Strawberry,0.98378
Our Proposed Approach,InsectWingbeatSound,0.663633
Our Proposed Approach,Meat,1
Our Proposed Approach,OliveOil,0.966667
Our Proposed Approach,SyntheticControl,1
Our Proposed Approach,CinCECGTorso,0.9246378
Our Proposed Approach,SwedishLeaf,0.952
Our Proposed Approach,TwoLeadECG,1
Our Proposed Approach,Wafer,0.995944192
Our Proposed Approach,Plane,1
Our Proposed Approach,Trace,0.95
Our Proposed Approach,TwoPatterns,1
Best:lstm-fcn,Beef,0.9
Best:lstm-fcn,BeetleFly,1
Best:lstm-fcn,BirdChicken,0.95
Best:lstm-fcn,Car,0.966667
Best:lstm-fcn,CBF,0.996667
Best:lstm-fcn,ChlorineConcentration,0.816146
Best:lstm-fcn,Coffee,1
Best:lstm-fcn,Lighting2,0.819672
Best:lstm-fcn,FordA,0.976515
Best:lstm-fcn,ItalyPowerDemand,0.963071
Best:lstm-fcn,ECG200,0.91
Best:lstm-fcn,ECG5000,0.948222
Best:lstm-fcn,DiatomSizeReduction,0.970588
Best:lstm-fcn,Earthquakes,0.81295
Best:lstm-fcn,GunPoint,1
Best:lstm-fcn,Hering,0.75
Best:lstm-fcn,Strawberry,0.986486
Best:lstm-fcn,InsectWingbeatSound,0.668687
Best:lstm-fcn,Meat,0.88333
Best:lstm-fcn,OliveOil,0.766667
Best:lstm-fcn,SyntheticControl,0.993333
Best:lstm-fcn,CinCECGTorso,0.904348
Best:lstm-fcn,SwedishLeaf,0.9792
Best:lstm-fcn,TwoLeadECG,1
Best:lstm-fcn,Wafer,0.998378
Best:lstm-fcn,Plane,1
Best:lstm-fcn,Trace,1
Best:lstm-fcn,TwoPatterns,1
ResNet-Transformer1[25],Beef,0.866667
ResNet-Transformer1[25],BeetleFly,0.95
ResNet-Transformer1[25],BirdChicken,0.9
ResNet-Transformer1[25],Car,0.883333
ResNet-Transformer1[25],CBF,0.997778
ResNet-Transformer1[25],ChlorineConcentration,0.863281
ResNet-Transformer1[25],Coffee,1
ResNet-Transformer1[25],Lighting2,0.852429
ResNet-Transformer1[25],FordA,0.946212
ResNet-Transformer1[25],ItalyPowerDemand,0.969874
ResNet-Transformer1[25],ECG200,0.95
ResNet-Transformer1[25],ECG5000,0.943556
ResNet-Transformer1[25],DiatomSizeReduction,0.996732
ResNet-Transformer1[25],Earthquakes,0.755396
ResNet-Transformer1[25],GunPoint,1
ResNet-Transformer1[25],Hering,0.734375
ResNet-Transformer1[25],Strawberry,0.986486
ResNet-Transformer1[25],InsectWingbeatSound,0.642424
ResNet-Transformer1[25],Meat,1
ResNet-Transformer1[25],OliveOil,0.9
ResNet-Transformer1[25],SyntheticControl,0.996667
ResNet-Transformer1[25],CinCECGTorso,0.656522
ResNet-Transformer1[25],SwedishLeaf,0.9728
ResNet-Transformer1[25],TwoLeadECG,1
ResNet-Transformer1[25],Wafer,0.998251
ResNet-Transformer1[25],Plane,1
ResNet-Transformer1[25],Trace,1
ResNet-Transformer1[25],TwoPatterns,1
COTE,Beef,0.764
COTE,BeetleFly,0.921
COTE,BirdChicken,0.941
COTE,Car,0.899
COTE,CBF,0.998
COTE,ChlorineConcentration,0.736
COTE,Coffee,1
COTE,Lighting2,0.785
COTE,FordA,0.955
COTE,ItalyPowerDemand,0.97
COTE,ECG200,0.873
COTE,ECG5000,0.946
COTE,DiatomSizeReduction,0.925
COTE,Earthquakes,0.747
COTE,GunPoint,0.992
COTE,Hering,0.632
COTE,Strawberry,0.963
COTE,InsectWingbeatSound,0.639
COTE,Meat,0.981
COTE,OliveOil,0.901
COTE,SyntheticControl,0.999
COTE,CinCECGTorso,0.98
